date,account,amount,description,reason,transaction_id
"2026-07-06","Property Sauce Deposit","695.00","MOB, Property Sauce, F33 Chukwu DEPOSIT","internal transfer between Property Sauce accounts","1626078000011884507"
"2026-07-06","Property Sauce Fee","60.95","MOB, Property Sauce, 32D HOLLYBUSH FEE","internal transfer between Property Sauce accounts","1626078000011884512"
"2026-07-06","Property Sauce Fee","70.00","MOB, Property Sauce, 4 MAYFORD RENT FEE","internal transfer between Property Sauce accounts","1626078000011884511"
"2026-07-06","Property Sauce Fee","213.00","MOB, Property Sauce, VALLEY SIDE FEE","internal transfer between Property Sauce accounts","1626078000011884510"
"2026-07-08","Property Sauce Fee","44.22","MOB, Property Sauce, F3 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000011960003"
"2026-07-08","Property Sauce Fee","135.00","MOB, Property Sauce, 664B HIGH ROAD FEE","internal transfer between Property Sauce accounts","1626078000011960002"
"2026-07-09","Property Sauce Fee","91.01","MOB, Property Sauce, F2 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000011973139"
"2026-07-13","Property Sauce Deposit","600.00","MOB, Property Sauce, F41 Oladipupo DPST","internal transfer between Property Sauce accounts","1626078000012030006"
"2026-07-13","Property Sauce Deposit","650.00","MOB, Property Sauce, F31 Idowu DEPOSIT","internal transfer between Property Sauce accounts","1626078000012030005"
"2026-07-13","Property Sauce Deposit","650.00","MOB, Property Sauce, F7Robinson DEPOSIT","internal transfer between Property Sauce accounts","1626078000012030004"
"2026-07-13","Property Sauce Deposit","695.00","MOB, Property Sauce, F36 Dean DEPOSIT","internal transfer between Property Sauce accounts","1626078000012030003"
"2026-07-13","Property Sauce Deposit","750.00","MOB, Property Sauce, F38 ZAINAB DEPOSIT","internal transfer between Property Sauce accounts","1626078000012030002"
"2026-07-13","Property Sauce Fee","64.90","MOB, Property Sauce, 50 GREEN POND FEE","internal transfer between Property Sauce accounts","1626078000012030009"
"2026-07-13","Property Sauce Fee","421.95","MOB, Property Sauce, 102 NEW ROAD FEE","internal transfer between Property Sauce accounts","1626078000012030008"
"2026-07-15","Property Sauce","125.00","FPS, Wileman R M, HOLDING DEPOSIT","holding deposit from an applicant (Ops 02), not rent","1626078000012085211"
"2026-07-15","Property Sauce Fee","45.00","MOB, Property Sauce, F4 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000012061317"
"2026-07-15","Property Sauce Fee","52.47","MOB, Property Sauce, F7 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000012061316"
"2026-07-16","Property Sauce Fee","62.32","MOB, Property Sauce, 2THE CORNFIELD FEE","internal transfer between Property Sauce accounts","1626078000012085230"
"2026-07-17","Property Sauce Deposit","600.00","MOB, Property Sauce, F34 HANNAH DEPOSIT","internal transfer between Property Sauce accounts","1626078000012074070"
"2026-07-17","Property Sauce Deposit","600.00","MOB, Property Sauce, F22 SARAH DEPOSIT","internal transfer between Property Sauce accounts","1626078000012074069"
"2026-07-20","Property Sauce Fee","45.90","MOB, Property Sauce, F9 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000012126007"
"2026-07-20","Property Sauce Fee","73.88","MOB, Property Sauce, F3 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000012126006"
"2026-07-20","Property Sauce Fee","180.00","MOB, Property Sauce, F1 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000012126005"
"2026-07-20","Property Sauce Fee","193.80","MOB, Property Sauce, 72D KINGSWOOD FEE","internal transfer between Property Sauce accounts","1626078000012126004"
"2026-07-20","Property Sauce Fee","259.65","MOB, Property Sauce, FF225 CHURCH FEE","internal transfer between Property Sauce accounts","1626078000012126003"
"2026-07-22","Property Sauce Fee","278.10","MOB, Property Sauce, GF55 COOPERS FEE","internal transfer between Property Sauce accounts","1626078000012157002"
"2026-07-23","Property Sauce Fee","35.39","MOB, Property Sauce, F8 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000012183002"
"2026-07-27","BUSINESS ACCOUNT","700.00","PROPERTY SAUCE BBL COVER CBBPIxxxxxxxxx0917 821974 10 26JUL26 22:10","own company or director transfer (decision 6), not tenant rent","1626078000012208115"
"2026-07-28","Property Sauce Fee","46.76","MOB, Property Sauce, 45A SEAVIEW RD FEE","internal transfer between Property Sauce accounts","1626078000012254007"
"2026-07-28","Property Sauce Fee","470.00","MOB, Property Sauce, 26 KENILWORTH FEE","internal transfer between Property Sauce accounts","1626078000012254006"
"2026-07-29","Property Sauce Deposit","695.00","MOB, Property Sauce, F44LN ROSS DEPOSIT","internal transfer between Property Sauce accounts","1626078000012301003"
"2026-07-29","Property Sauce Deposit","820.00","MOB, Property Sauce, ANNEXE JOAN DEPOST","internal transfer between Property Sauce accounts","1626078000012301002"
"2026-07-29","Property Sauce Fee","37.80","MOB, Property Sauce, F2 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000012301005"
"2026-07-30","Property Sauce Fee","50.88","MOB, Property Sauce, PEARCRAFT ROAD JUL","internal transfer between Property Sauce accounts","1626078000012319002"
"2026-08-03","Property Sauce","0.59","CRD95VM CASHBACK","card refund or cashback","1626078000012394059"
"2026-08-03","Property Sauce Deposit","650.00","MOB, Property Sauce, F4 BIBBY DEPOSIT","internal transfer between Property Sauce accounts","1626078000012393004"
"2026-08-03","Property Sauce Deposit","695.00","MOB, Property Sauce, F33 TANIA DEPOSIT","internal transfer between Property Sauce accounts","1626078000012393003"
"2026-08-03","Property Sauce Deposit","695.00","MOB, Property Sauce, F37 ARDLEY DEPOSIT","internal transfer between Property Sauce accounts","1626078000012393002"
"2026-08-03","Property Sauce Fee","47.70","MOB, Property Sauce, F6 LORD STREET FEE","internal transfer between Property Sauce accounts","1626078000012390080"
"2026-08-03","Property Sauce Fee","70.00","MOB, Property Sauce, 4 MAYFORD RENT FEE","internal transfer between Property Sauce accounts","1626078000012390079"
"2026-08-03","Property Sauce Fee","80.89","MOB, Property Sauce, F1 LEABRIDGE FEE","internal transfer between Property Sauce accounts","1626078000012390078"
"2026-08-03","Property Sauce Fee","168.30","MOB, Property Sauce, 127C GRANGE PA FEE","internal transfer between Property Sauce accounts","1626078000012390077"
"2026-08-03","Property Sauce Fee","198.75","MOB, Property Sauce, 72C KIGSWOOD FEE","internal transfer between Property Sauce accounts","1626078000012390076"
"2026-08-03","Property Sauce Fee","240.00","MOB, Property Sauce, 1 ONSLOW CLOSE FEE","internal transfer between Property Sauce accounts","1626078000012390075"
"2026-08-25","BUSINESS ACCOUNT","550.00","PROPERTY SAUCE BBL COVER CBBPIxxxxxxxxx7319 821974 10 25AUG26 11:31","own company or director transfer (decision 6), not tenant rent","1626078000012821015"
"2026-08-27","Property Sauce","291.82","FPS, Hinks R R, Insurance","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000012852199"
"2026-09-04","Property Sauce","1.12","CRD95VM CASHBACK","card refund or cashback","1626078000013058131"
